filename,style_bucket,artist,title,license,source_url
"1000-handz-mona-lisa.mp3","meditation_relaxing","1000 Handz","Mona Lisa","CC BY 4.0","https://freemusicarchive.org/music/1000-handz/cc-by-free-to-use-chillstudylounge-instrumentals/mona-lisa/"
"alex-morgan-bossa-lounge-cocktail-bar-early-evening.mp3","meditation_relaxing","Alex Morgan","Bossa Lounge Cocktail Bar Early Evening","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/bossa-nova-latin-jazz-vol-1/bossa-lounge-cocktail-bar-early-evening/"
"alex-morgan-bossa-nova-rainy-night-quiet-sway.mp3","meditation_relaxing","Alex Morgan","Bossa Nova Rainy Night Quiet Sway","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/bossa-nova-latin-jazz-vol-1/bossa-nova-rainy-night-quiet-sway/"
"alex-morgan-latin-jazz-sunny-cafe-afternoon-groove.mp3","meditation_relaxing","Alex Morgan","Latin Jazz Sunny Cafe Afternoon Groove","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/bossa-nova-latin-jazz-vol-2/latin-jazz-sunny-cafe-afternoon-groove/"
"alex-morgan-jazz-ballad-coffee-shop-warm-mid-pace.mp3","meditation_relaxing","Alex Morgan","Jazz Ballad Coffee Shop Warm Mid Pace","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/cocktail-bar-lounge-jazz-vol-1/jazz-ballad-coffee-shop-warm-mid-pace/"
"alex-morgan-gypsy-jazz-restaurant-gentle-manouche.mp3","meditation_relaxing","Alex Morgan","Gypsy Jazz Restaurant Gentle Manouche","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/gypsy-smooth-jazz-vol-1/gypsy-jazz-restaurant-gentle-manouche/"
"alex-morgan-chillhop-jazz-coffee-shop-ambience.mp3","meditation_relaxing","Alex Morgan","Chillhop Jazz Coffee Shop Ambience","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/jazz-study-sessions-vol-1/chillhop-jazz-coffee-shop-ambience/"
"alex-morgan-chillhop-jazz-for-a-rainy-night-in.mp3","meditation_relaxing","Alex Morgan","Chillhop Jazz for a Rainy Night In","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/jazz-study-sessions-vol-1/chillhop-jazz-for-a-rainy-night-in/"
"alex-morgan-lofi-jazz-study-session-in-a-minor-key.mp3","meditation_relaxing","Alex Morgan","Lofi Jazz Study Session in a Minor Key","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/lofi-study-beats/lofi-jazz-study-session-in-a-minor-key/"
"alex-morgan-study-lofi-rainy-night-at-low-level.mp3","meditation_relaxing","Alex Morgan","Study Lofi Rainy Night at Low Level","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/lofi-study-beats/study-lofi-rainy-night-at-low-level/"
